# Real Imaginary
7.9865211307557602e+05 2.3697516898175338e+04
6.4722709792078577e+05 -4.6904266981186613e+05
6.4722709792078577e+05 4.6904266981186613e+05
4.2699236295341759e+05 6.7687942156861792e+05
4.2699236295341759e+05 -6.7687942156861792e+05
7.9960292316420982e+05 3.8910790248786070e+04
7.9960292316420982e+05 -3.8910790248786070e+04
-7.9591882507434627e+05 -8.8213310564483283e+04
-7.9591882507434627e+05 8.8213310564483283e+04
-3.1683757545395178e+05 -7.3783851391055214e+05
-3.1683757545395178e+05 7.3783851391055214e+05
-5.9114257055847847e+05 5.4441425456113811e+05
-5.9114257055847847e+05 -5.4441425456113811e+05
-7.9940808041516028e+05 -8.4206816037772049e+04
-7.9940808041516028e+05 8.4206816037772049e+04
-2.9851715321092616e+05 -7.4679851348125807e+05
-2.9851715321092616e+05 7.4679851348125807e+05
-6.3605285517028440e+05 -4.9229319090913684e+05
-6.3605285517028440e+05 4.9229319090913684e+05
4.3413818148659181e+05 -6.7745557019490283e+05
4.3413818148659181e+05 6.7745557019490283e+05
8.0364707387079275e+05 -4.5709574345884546e+04
8.0364707387079275e+05 4.5709574345884546e+04
-5.0348161152044637e+05 -6.2847607787109038e+05
-5.0348161152044637e+05 6.2847607787109038e+05
-7.9321686811733351e+05 -1.4081185475475268e+05
-7.9321686811733351e+05 1.4081185475475268e+05
6.5254341981867340e+05 4.7252542127768439e+05
6.5254341981867340e+05 -4.7252542127768439e+05
6.5092981660844747e+05 4.7476944094119559e+05
6.5092981660844747e+05 -4.7476944094119559e+05
6.5420351495134272e+05 -4.7032222085714422e+05
6.5420351495134272e+05 4.7032222085714422e+05
6.4937245002333331e+05 -4.7699812075870304e+05
6.4937245002333331e+05 4.7699812075870304e+05
6.4783945965403446e+05 -4.7918744338282733e+05
6.4783945965403446e+05 4.7918744338282733e+05
6.5585746472912305e+05 -4.6817103850537114e+05
6.5585746472912305e+05 4.6817103850537114e+05
-2.7050876272530173e+05 7.5907261212826602e+05
-2.7050876272530173e+05 -7.5907261212826602e+05
6.4630960634059994e+05 -4.8134102711514116e+05
6.4630960634059994e+05 4.8134102711514116e+05
6.4477468014948827e+05 4.8346622488805332e+05
6.4477468014948827e+05 -4.8346622488805332e+05
6.5748184983538266e+05 -4.6604600579849829e+05
6.5748184983538266e+05 4.6604600579849829e+05
6.4323211195002659e+05 -4.8556823595341138e+05
6.4323211195002659e+05 4.8556823595341138e+05
6.4168158218429552e+05 4.8765057573415298e+05
6.4168158218429552e+05 -4.8765057573415298e+05
6.4012363612278900e+05 -4.8971542683008465e+05
6.4012363612278900e+05 4.8971542683008465e+05
6.3226217720403569e+05 -4.9983234924934752e+05
6.3226217720403569e+05 4.9983234924934752e+05
6.3068218651265604e+05 5.0182575081957760e+05
6.3068218651265604e+05 -5.0182575081957760e+05
6.3384031854139490e+05 4.9783139279422257e+05
6.3384031854139490e+05 -4.9783139279422257e+05
6.3855933317156928e+05 4.9176452707585326e+05
6.3855933317156928e+05 -4.9176452707585326e+05
6.3541648104835220e+05 -4.9582097684712667e+05
6.3541648104835220e+05 4.9582097684712667e+05
6.3698983706390834e+05 -4.9379920866060507e+05
6.3698983706390834e+05 4.9379920866060507e+05
6.2909991419089655e+05 5.0381343238324946e+05
6.2909991419089655e+05 -5.0381343238324946e+05
6.2751423865183769e+05 -5.0579667375926865e+05
6.2751423865183769e+05 5.0579667375926865e+05
6.5907729257769557e+05 -4.6392860864688677e+05
6.5907729257769557e+05 4.6392860864688677e+05
6.0967422952623339e+05 5.2717559814286930e+05
6.0967422952623339e+05 -5.2717559814286930e+05
6.2592381220048806e+05 -5.0777617280892842e+05
6.2592381220048806e+05 5.0777617280892842e+05
6.1130783299439447e+05 5.2528188031805877e+05
6.1130783299439447e+05 -5.2528188031805877e+05
